MessageID,Sent_From,Sent_To,message
1,1,2,Hey Jane, how are you doing today?
2,2,4,Alice, can we schedule a quick catch-up?
3,3,5,Mike, could you help me with the project report?
4,5,7,Tom, can you review these documents?
5,4,6,Sarah, do you want to grab coffee later?
6,6,8,Emma, I need your input on the upcoming presentation.
7,7,1,John, can you confirm the meeting details?
8,8,3,Bob, I've finished the client proposal draft.
9,2,5,Mike, are we still on for the team lunch?
10,5,8,Emma, could you send me the latest budget spreadsheet?
